input,input_size,encoder,level,bias,compressed_size
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,0,1.0,85807
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,0,1.0,85970
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,0,0.5,62547
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,0,0.5,61651
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,0,0.05,60539
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,0,0.05,60647
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,1,1.0,79558
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,1,1.0,79625
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,1,0.5,62155
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,1,0.5,60466
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,1,0.05,58846
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,1,0.05,58900
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,2,1.0,73979
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,2,1.0,73979
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,2,0.5,58811
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,2,0.5,56965
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,2,0.05,55784
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,2,0.05,55782
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,3,1.0,71198
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,3,1.0,71202
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,cpp,3,0.5,56515
"/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt",152089,go,3,0.5,54845
