input,input_size,encoder,level,bias,compressed_size
"repeated/zero-64k.bin",65536,cpp,0,1.0,54
"repeated/zero-64k.bin",65536,go,0,1.0,54
"repeated/zero-64k.bin",65536,cpp,0,0.5,54
"repeated/zero-64k.bin",65536,go,0,0.5,54
"repeated/zero-64k.bin",65536,cpp,0,0.05,54
"repeated/zero-64k.bin",65536,go,0,0.05,54
"repeated/zero-64k.bin",65536,cpp,1,1.0,55
"repeated/zero-64k.bin",65536,go,1,1.0,55
"repeated/zero-64k.bin",65536,cpp,1,0.5,55
"repeated/zero-64k.bin",65536,go,1,0.5,55
"repeated/zero-64k.bin",65536,cpp,1,0.05,55
"repeated/zero-64k.bin",65536,go,1,0.05,55
"repeated/zero-64k.bin",65536,cpp,2,1.0,55
"repeated/zero-64k.bin",65536,go,2,1.0,55
"repeated/zero-64k.bin",65536,cpp,2,0.5,55
"repeated/zero-64k.bin",65536,go,2,0.5,55
"repeated/zero-64k.bin",65536,cpp,2,0.05,55
"repeated/zero-64k.bin",65536,go,2,0.05,55
"repeated/zero-64k.bin",65536,cpp,5,1.0,54
"repeated/zero-64k.bin",65536,go,5,1.0,54
"repeated/zero-64k.bin",65536,cpp,5,0.5,54
"repeated/zero-64k.bin",65536,go,5,0.5,54
"repeated/zero-64k.bin",65536,cpp,5,0.05,54
"repeated/zero-64k.bin",65536,go,5,0.05,54
"repeated/zero-64k.bin",65536,cpp,10,1.0,54
"repeated/zero-64k.bin",65536,go,10,1.0,54
"repeated/zero-64k.bin",65536,cpp,10,0.5,54
"repeated/zero-64k.bin",65536,go,10,0.5,54
"repeated/zero-64k.bin",65536,cpp,10,0.05,54
"repeated/zero-64k.bin",65536,go,10,0.05,54
"repeated/a-64k.bin",65536,cpp,0,1.0,54
"repeated/a-64k.bin",65536,go,0,1.0,54
"repeated/a-64k.bin",65536,cpp,0,0.5,54
"repeated/a-64k.bin",65536,go,0,0.5,54
"repeated/a-64k.bin",65536,cpp,0,0.05,54
"repeated/a-64k.bin",65536,go,0,0.05,54
"repeated/a-64k.bin",65536,cpp,1,1.0,55
"repeated/a-64k.bin",65536,go,1,1.0,55
"repeated/a-64k.bin",65536,cpp,1,0.5,55
"repeated/a-64k.bin",65536,go,1,0.5,55
"repeated/a-64k.bin",65536,cpp,1,0.05,55
"repeated/a-64k.bin",65536,go,1,0.05,55
"repeated/a-64k.bin",65536,cpp,2,1.0,55
"repeated/a-64k.bin",65536,go,2,1.0,55
"repeated/a-64k.bin",65536,cpp,2,0.5,55
"repeated/a-64k.bin",65536,go,2,0.5,55
"repeated/a-64k.bin",65536,cpp,2,0.05,55
"repeated/a-64k.bin",65536,go,2,0.05,55
"repeated/a-64k.bin",65536,cpp,5,1.0,54
"repeated/a-64k.bin",65536,go,5,1.0,54
"repeated/a-64k.bin",65536,cpp,5,0.5,54
"repeated/a-64k.bin",65536,go,5,0.5,54
"repeated/a-64k.bin",65536,cpp,5,0.05,54
"repeated/a-64k.bin",65536,go,5,0.05,54
"repeated/a-64k.bin",65536,cpp,10,1.0,54
"repeated/a-64k.bin",65536,go,10,1.0,54
"repeated/a-64k.bin",65536,cpp,10,0.5,54
"repeated/a-64k.bin",65536,go,10,0.5,54
"repeated/a-64k.bin",65536,cpp,10,0.05,54
"repeated/a-64k.bin",65536,go,10,0.05,54
"repeated/periodic-128k.bin",131072,cpp,0,1.0,65
"repeated/periodic-128k.bin",131072,go,0,1.0,65
"repeated/periodic-128k.bin",131072,cpp,0,0.5,65
"repeated/periodic-128k.bin",131072,go,0,0.5,65
"repeated/periodic-128k.bin",131072,cpp,0,0.05,74
"repeated/periodic-128k.bin",131072,go,0,0.05,74
"repeated/periodic-128k.bin",131072,cpp,1,1.0,65
"repeated/periodic-128k.bin",131072,go,1,1.0,65
"repeated/periodic-128k.bin",131072,cpp,1,0.5,65
"repeated/periodic-128k.bin",131072,go,1,0.5,65
"repeated/periodic-128k.bin",131072,cpp,1,0.05,74
"repeated/periodic-128k.bin",131072,go,1,0.05,74
"repeated/periodic-128k.bin",131072,cpp,2,1.0,65
"repeated/periodic-128k.bin",131072,go,2,1.0,65
"repeated/periodic-128k.bin",131072,cpp,2,0.5,65
"repeated/periodic-128k.bin",131072,go,2,0.5,65
"repeated/periodic-128k.bin",131072,cpp,2,0.05,74
"repeated/periodic-128k.bin",131072,go,2,0.05,74
"repeated/periodic-128k.bin",131072,cpp,5,1.0,65
"repeated/periodic-128k.bin",131072,go,5,1.0,65
"repeated/periodic-128k.bin",131072,cpp,5,0.5,65
"repeated/periodic-128k.bin",131072,go,5,0.5,65
"repeated/periodic-128k.bin",131072,cpp,5,0.05,66
"repeated/periodic-128k.bin",131072,go,5,0.05,74
"repeated/periodic-128k.bin",131072,cpp,10,1.0,65
"repeated/periodic-128k.bin",131072,go,10,1.0,66
"repeated/periodic-128k.bin",131072,cpp,10,0.5,65
"repeated/periodic-128k.bin",131072,go,10,0.5,66
"repeated/periodic-128k.bin",131072,cpp,10,0.05,66
"repeated/periodic-128k.bin",131072,go,10,0.05,75
"small/size-29.bin",29,cpp,0,1.0,32
"small/size-29.bin",29,go,0,1.0,32
"small/size-29.bin",29,cpp,0,0.5,32
"small/size-29.bin",29,go,0,0.5,32
"small/size-29.bin",29,cpp,0,0.05,32
"small/size-29.bin",29,go,0,0.05,32
"small/size-29.bin",29,cpp,1,1.0,32
"small/size-29.bin",29,go,1,1.0,32
"small/size-29.bin",29,cpp,1,0.5,32
"small/size-29.bin",29,go,1,0.5,32
"small/size-29.bin",29,cpp,1,0.05,32
"small/size-29.bin",29,go,1,0.05,32
"small/size-29.bin",29,cpp,2,1.0,32
"small/size-29.bin",29,go,2,1.0,32
"small/size-29.bin",29,cpp,2,0.5,32
"small/size-29.bin",29,go,2,0.5,32
"small/size-29.bin",29,cpp,2,0.05,32
"small/size-29.bin",29,go,2,0.05,32
"small/size-29.bin",29,cpp,5,1.0,32
"small/size-29.bin",29,go,5,1.0,32
"small/size-29.bin",29,cpp,5,0.5,32
"small/size-29.bin",29,go,5,0.5,32
"small/size-29.bin",29,cpp,5,0.05,32
"small/size-29.bin",29,go,5,0.05,32
"small/size-29.bin",29,cpp,10,1.0,32
"small/size-29.bin",29,go,10,1.0,32
"small/size-29.bin",29,cpp,10,0.5,32
"small/size-29.bin",29,go,10,0.5,32
"small/size-29.bin",29,cpp,10,0.05,32
"small/size-29.bin",29,go,10,0.05,32
"small/size-15.bin",15,cpp,0,1.0,18
"small/size-15.bin",15,go,0,1.0,18
"small/size-15.bin",15,cpp,0,0.5,18
"small/size-15.bin",15,go,0,0.5,18
"small/size-15.bin",15,cpp,0,0.05,18
"small/size-15.bin",15,go,0,0.05,18
"small/size-15.bin",15,cpp,1,1.0,18
"small/size-15.bin",15,go,1,1.0,18
"small/size-15.bin",15,cpp,1,0.5,18
"small/size-15.bin",15,go,1,0.5,18
"small/size-15.bin",15,cpp,1,0.05,18
"small/size-15.bin",15,go,1,0.05,18
"small/size-15.bin",15,cpp,2,1.0,18
"small/size-15.bin",15,go,2,1.0,18
"small/size-15.bin",15,cpp,2,0.5,18
"small/size-15.bin",15,go,2,0.5,18
"small/size-15.bin",15,cpp,2,0.05,18
"small/size-15.bin",15,go,2,0.05,18
"small/size-15.bin",15,cpp,5,1.0,18
"small/size-15.bin",15,go,5,1.0,18
"small/size-15.bin",15,cpp,5,0.5,18
"small/size-15.bin",15,go,5,0.5,18
"small/size-15.bin",15,cpp,5,0.05,18
"small/size-15.bin",15,go,5,0.05,18
"small/size-15.bin",15,cpp,10,1.0,18
"small/size-15.bin",15,go,10,1.0,18
"small/size-15.bin",15,cpp,10,0.5,18
"small/size-15.bin",15,go,10,0.5,18
"small/size-15.bin",15,cpp,10,0.05,18
"small/size-15.bin",15,go,10,0.05,18
"small/size-14.bin",14,cpp,0,1.0,17
"small/size-14.bin",14,go,0,1.0,17
"small/size-14.bin",14,cpp,0,0.5,17
"small/size-14.bin",14,go,0,0.5,17
"small/size-14.bin",14,cpp,0,0.05,17
"small/size-14.bin",14,go,0,0.05,17
"small/size-14.bin",14,cpp,1,1.0,17
