input,input_size,encoder,level,bias,compressed_size
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,0,1.0,5897188
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,0,1.0,5902269
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,0,0.5,4320923
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,0,0.5,4256107
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,0,0.05,4168076
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,0,0.05,4173918
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,1,1.0,5270308
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,1,1.0,5273467
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,1,0.5,4244147
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,1,0.5,4091751
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,1,0.05,3943023
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,1,0.05,3945349
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,2,1.0,4909072
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,2,1.0,4908678
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,2,0.5,3863749
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,2,0.5,3727259
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,2,0.05,3598165
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,2,0.05,3598258
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,3,1.0,4748158
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,3,1.0,4748014
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,3,0.5,3699238
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,3,0.5,3560105
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,3,0.05,3423643
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,3,0.05,3423656
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,4,1.0,4682749
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,4,1.0,4682686
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,4,0.5,3527351
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,4,0.5,3406390
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,4,0.05,3258721
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,4,0.05,3258877
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,5,1.0,4284496
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,5,1.0,4284223
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,5,0.5,3296941
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,5,0.5,3296480
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,5,0.05,3090336
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,5,0.05,3089608
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,6,1.0,4230165
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,6,1.0,4229734
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,6,0.5,3218820
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,6,0.5,3219052
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,6,0.05,3011783
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,6,0.05,3011912
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,7,1.0,4177820
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,7,1.0,4177892
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,7,0.5,3146751
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,7,0.5,3146706
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,7,0.05,2950380
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,7,0.05,2949810
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,8,1.0,4127715
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,8,1.0,4127794
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,8,0.5,3088199
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,8,0.5,3088510
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,8,0.05,2883895
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,8,0.05,2883404
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,9,1.0,4108129
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,9,1.0,4108198
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,9,0.5,3080202
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,9,0.5,3080803
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,9,0.05,2876585
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,9,0.05,2876475
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,10,1.0,4101158
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,10,1.0,4101232
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,10,0.5,3076057
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,10,0.5,3076516
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,10,0.05,2871546
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,10,0.05,2871091
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,0,1.0,23714225
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,0,1.0,23735717
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,0,0.5,20984000
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,0,0.5,19106032
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,0,0.05,18147411
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,0,0.05,18181103
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,1,1.0,21934386
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,1,1.0,21942689
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,1,0.5,19932156
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,1,0.5,18220101
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,1,0.05,17301852
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,1,0.05,17296449
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,2,1.0,20437297
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,2,1.0,20435675
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,2,0.5,18304798
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,2,0.5,17031397
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,2,0.05,16209202
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,2,0.05,16197613
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,3,1.0,20126957
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,3,1.0,20126686
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,3,0.5,18022834
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,3,0.5,16776366
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,3,0.05,15964099
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,3,0.05,15952712
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,4,1.0,19990119
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,4,1.0,19990179
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,4,0.5,17777862
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,4,0.5,16616290
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,4,0.05,15765526
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,4,0.05,15753527
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,5,1.0,19093215
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,5,1.0,19092575
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,5,0.5,16472851
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,5,0.5,16475447
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,5,0.05,14663288
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,5,0.05,14661592
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,6,1.0,18921207
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,6,1.0,18921228
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,6,0.5,16223954
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,6,0.5,16226998
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,6,0.05,14373079
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,6,0.05,14370556
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,7,1.0,18552204
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,7,1.0,18552744
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,7,0.5,15574216
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,7,0.5,15584317
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,7,0.05,13761410
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,7,0.05,13756158
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,8,1.0,18346784
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,8,1.0,18347965
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,8,0.5,15399758
