input,input_size,encoder,level,bias,compressed_size
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,5,0.05,3090336
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,5,0.05,3089608
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,6,0.05,3011783
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,6,0.05,3011912
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,cpp,10,0.05,2871546
"/tmp/skanda-public-corpus-silesia/corpora/silesia/dickens",10192446,go,10,0.05,2871091
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,5,0.05,14663288
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,5,0.05,14661592
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,6,0.05,14373079
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,6,0.05,14370556
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,10,0.05,13183816
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,10,0.05,13185111
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,5,0.05,3033272
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,5,0.05,3032048
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,6,0.05,3000802
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,6,0.05,3000300
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,10,0.05,2794269
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,10,0.05,2798686
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,cpp,5,0.05,2299505
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,go,5,0.05,2299126
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,cpp,6,0.05,2109665
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,go,6,0.05,2108502
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,cpp,10,0.05,1488894
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,go,10,0.05,1492769
"/tmp/skanda-public-corpus-silesia/corpora/silesia/ooffice",6152192,cpp,5,0.05,2629042
"/tmp/skanda-public-corpus-silesia/corpora/silesia/ooffice",6152192,go,5,0.05,2629327
"/tmp/skanda-public-corpus-silesia/corpora/silesia/ooffice",6152192,cpp,6,0.05,2601011
"/tmp/skanda-public-corpus-silesia/corpora/silesia/ooffice",6152192,go,6,0.05,2600849
"/tmp/skanda-public-corpus-silesia/corpora/silesia/ooffice",6152192,cpp,10,0.05,2427537
"/tmp/skanda-public-corpus-silesia/corpora/silesia/ooffice",6152192,go,10,0.05,2426547
"/tmp/skanda-public-corpus-silesia/corpora/silesia/osdb",10085684,cpp,5,0.05,3154720
"/tmp/skanda-public-corpus-silesia/corpora/silesia/osdb",10085684,go,5,0.05,3154710
"/tmp/skanda-public-corpus-silesia/corpora/silesia/osdb",10085684,cpp,6,0.05,3123097
"/tmp/skanda-public-corpus-silesia/corpora/silesia/osdb",10085684,go,6,0.05,3123185
"/tmp/skanda-public-corpus-silesia/corpora/silesia/osdb",10085684,cpp,10,0.05,2945758
"/tmp/skanda-public-corpus-silesia/corpora/silesia/osdb",10085684,go,10,0.05,2946059
"/tmp/skanda-public-corpus-silesia/corpora/silesia/reymont",6627202,cpp,5,0.05,1556560
"/tmp/skanda-public-corpus-silesia/corpora/silesia/reymont",6627202,go,5,0.05,1555847
"/tmp/skanda-public-corpus-silesia/corpora/silesia/reymont",6627202,cpp,6,0.05,1498008
"/tmp/skanda-public-corpus-silesia/corpora/silesia/reymont",6627202,go,6,0.05,1497503
"/tmp/skanda-public-corpus-silesia/corpora/silesia/reymont",6627202,cpp,10,0.05,1349863
"/tmp/skanda-public-corpus-silesia/corpora/silesia/reymont",6627202,go,10,0.05,1350317
"/tmp/skanda-public-corpus-silesia/corpora/silesia/samba",21606400,cpp,5,0.05,4225691
"/tmp/skanda-public-corpus-silesia/corpora/silesia/samba",21606400,go,5,0.05,4221505
"/tmp/skanda-public-corpus-silesia/corpora/silesia/samba",21606400,cpp,6,0.05,4115437
"/tmp/skanda-public-corpus-silesia/corpora/silesia/samba",21606400,go,6,0.05,4113143
"/tmp/skanda-public-corpus-silesia/corpora/silesia/samba",21606400,cpp,10,0.05,3814904
"/tmp/skanda-public-corpus-silesia/corpora/silesia/samba",21606400,go,10,0.05,3817368
"/tmp/skanda-public-corpus-silesia/corpora/silesia/sao",7251944,cpp,5,0.05,4733394
"/tmp/skanda-public-corpus-silesia/corpora/silesia/sao",7251944,go,5,0.05,4732870
"/tmp/skanda-public-corpus-silesia/corpora/silesia/sao",7251944,cpp,6,0.05,4699256
"/tmp/skanda-public-corpus-silesia/corpora/silesia/sao",7251944,go,6,0.05,4698988
"/tmp/skanda-public-corpus-silesia/corpora/silesia/sao",7251944,cpp,10,0.05,4524645
"/tmp/skanda-public-corpus-silesia/corpora/silesia/sao",7251944,go,10,0.05,4526539
"/tmp/skanda-public-corpus-silesia/corpora/silesia/webster",41458703,cpp,5,0.05,9946351
"/tmp/skanda-public-corpus-silesia/corpora/silesia/webster",41458703,go,5,0.05,9946922
"/tmp/skanda-public-corpus-silesia/corpora/silesia/webster",41458703,cpp,6,0.05,9258333
"/tmp/skanda-public-corpus-silesia/corpora/silesia/webster",41458703,go,6,0.05,9258580
"/tmp/skanda-public-corpus-silesia/corpora/silesia/webster",41458703,cpp,10,0.05,8483471
"/tmp/skanda-public-corpus-silesia/corpora/silesia/webster",41458703,go,10,0.05,8483661
"/tmp/skanda-public-corpus-silesia/corpora/silesia/x-ray",8474240,cpp,5,0.05,4758741
"/tmp/skanda-public-corpus-silesia/corpora/silesia/x-ray",8474240,go,5,0.05,4788607
"/tmp/skanda-public-corpus-silesia/corpora/silesia/x-ray",8474240,cpp,6,0.05,4757914
"/tmp/skanda-public-corpus-silesia/corpora/silesia/x-ray",8474240,go,6,0.05,4788123
"/tmp/skanda-public-corpus-silesia/corpora/silesia/x-ray",8474240,cpp,10,0.05,4471695
"/tmp/skanda-public-corpus-silesia/corpora/silesia/x-ray",8474240,go,10,0.05,4460478
"/tmp/skanda-public-corpus-silesia/corpora/silesia/xml",5345280,cpp,5,0.05,543501
"/tmp/skanda-public-corpus-silesia/corpora/silesia/xml",5345280,go,5,0.05,543456
