label,block_index,decoded_start,decoded_size,block_type,block_flags,compressed_start,compressed_end,compressed_size,first_byte_seed,literal_flags,literal_streams,literal_symbols,literal_encoded_bytes,token_symbols,token_encoded_bytes,distance_flags,distance_token_symbols,distance_token_encoded_bytes,distance_advanced_payload_bytes,distance_decoded_bytes,length_symbols,length_encoded_bytes
cpp,0,0,65536,compressed,0,0,6269,6269,true,1,1,2094,1226,9817,3953,1,506,370,217,2024,3391,499
cpp,1,65536,196608,compressed,0,6269,21336,15067,false,1,1,2428,1653,30026,10259,1,1357,912,694,5428,11379,1546
cpp,2,262144,65536,compressed,0,21336,26302,4966,false,1,1,670,442,10197,3396,1,482,356,260,1928,3756,509
cpp,3,327680,65536,compressed,0,26302,30908,4606,false,1,1,536,363,10221,3173,1,457,321,243,1828,3823,503
cpp,4,393216,65536,compressed,0,30908,35607,4699,false,1,1,630,425,10200,3153,1,454,337,254,1816,3892,527
cpp,5,458752,65536,compressed,0,35607,40242,4635,false,1,1,542,364,10207,3181,1,433,329,249,1732,3829,509
cpp,6,524288,65536,compressed,0,40242,45518,5276,false,1,1,1029,656,10021,3547,1,442,322,228,1768,3659,520
cpp,7,589824,65536,compressed,0,45518,50466,4948,false,1,1,820,536,10070,3363,1,391,292,212,1564,3888,542
cpp,8,655360,65536,compressed,0,50466,55412,4946,false,1,1,816,513,10100,3375,1,374,294,218,1496,3906,543
cpp,9,720896,65536,compressed,0,55412,60388,4976,false,1,1,780,514,10105,3380,1,424,319,228,1696,3838,532
cpp,10,786432,196608,compressed,0,60388,75072,14684,false,1,1,2356,1501,29821,10076,1,1256,859,667,5024,11625,1578
cpp,11,983040,46673,compressed,0,75072,78658,3586,false,1,1,569,354,7055,2442,1,335,244,165,1340,2715,378
cpp,12,1029713,31,raw,1,78658,78692,34,false,,,,,,,,,,,,,
go,0,0,65536,compressed,0,0,6322,6322,true,1,1,2121,1252,9858,3984,1,489,367,216,1956,3373,499
go,1,65536,65536,compressed,0,6322,11689,5367,false,1,1,1117,736,9907,3576,1,417,309,216,1668,3714,527
go,2,131072,65536,compressed,0,11689,16415,4726,false,1,1,752,510,10151,3205,1,375,282,198,1500,3887,528
go,3,196608,65536,compressed,0,16415,21439,5024,false,1,1,855,581,10066,3428,1,382,282,198,1528,3834,532
go,4,262144,131072,compressed,0,21439,31431,9992,false,1,1,1558,1003,20197,6894,1,889,613,465,3556,7522,1014
go,5,393216,65536,compressed,0,31431,36018,4587,false,1,1,586,400,10337,3179,1,382,293,205,1528,3860,507
go,6,458752,65536,compressed,0,36018,41002,4984,false,1,1,848,475,10044,3477,1,386,299,208,1544,3771,522
go,7,524288,65536,compressed,0,41002,46368,5366,false,1,1,1202,727,9982,3577,1,420,309,216,1680,3691,534
go,8,589824,65536,compressed,0,46368,51369,5001,false,1,1,960,563,9991,3415,1,374,273,201,1496,3848,546
go,9,655360,65536,compressed,0,51369,56203,4834,false,1,1,793,505,10220,3316,1,378,289,211,1512,3795,510
go,10,720896,65536,compressed,0,56203,61618,5415,false,1,1,1237,763,9771,3552,1,447,328,224,1788,3691,545
go,11,786432,65536,compressed,0,61618,66753,5135,false,1,1,919,567,9979,3493,1,427,321,224,1708,3754,527
go,12,851968,65536,compressed,0,66753,71507,4754,false,1,1,750,462,10115,3272,1,379,288,209,1516,3829,520
go,13,917504,65536,compressed,0,71507,76653,5146,false,1,1,942,602,9889,3515,1,407,291,202,1628,3738,533
go,14,983040,46673,compressed,0,76653,80200,3547,false,1,1,623,350,7108,2465,1,277,211,137,1108,2700,381
go,15,1029713,31,raw,1,80200,80234,34,false,,,,,,,,,,,,,
